enunciado,imagem,alternativaA,alternativaB,alternativaC,alternativaD,alternativaCorreta,nivelDificuldade
"Qual o nome dessa peça?","", "Monitor","Teclado","Mouse","Gabinete","Monitor","FACIL"
"Qual o nome dessa peça?","", "Teclado","Mouse","Gabinete","Memória ram","Mouse","FACIL"
"Qual o nome dessa peça?","", "Gabinete","Teclado","Mouse","Caixa de som","Teclado","FACIL"
"Qual o nome dessa peça?","", "Caixa de som","Placa mãe","SSD","Fan","Caixa de som","FACIL"
"Qual o nome dessa peça?","", "Fonte","Placa de vídeo","Gabinete","Fonte","Fonte","FACIL"
"Qual o nome dessa peça?","", "Placa mãe","Fonte","Memória ram","SSD","Placa mãe","FACIL"
"Qual o nome dessa peça?","", "Memória ram","SSD","Placa de vídeo","Fan","Memória ram","FACIL"
"Qual o nome dessa peça?","", "SSD","Fonte","Gabinete","Teclado","SSD","FACIL"
"Qual o nome dessa peça?","", "Processador","Placa mãe","Monitor","Gabinete","Processador","FACIL"
"Qual o nome dessa peça?","", "Placa de vídeo","Monitor","Mouse","Caixa de som","Placa de vídeo","FACIL"
"Qual o nome dessa peça?","", "Fan","Processador","Mouse","Caixa de som","Fan","FACIL"
"Qual o nome dessa peça?","", "Fan","Processador","Gabinete","Caixa de som","Gabinete","FACIL"
"Qual peça mostra as imagens do computador?","", "Teclado","Monitor","Fonte","Gabinete","Monitor","FACIL"
"O que usamos para clicar e escolher o que queremos fazer?","", "Mouse","Teclado","SSD","Placa-mãe","Mouse","FACIL"
"Qual peça usamos para escrever palavras e números?","", "Monitor","Teclado","CPU","Fan","Teclado","FACIL"
"As caixas de som servem para:","", "Tocar músicas e sons","Esfriar o computador","Armazenar arquivos","Mostrar imagens","Tocar músicas e sons","FACIL"
"O gabinete é:","", "Um tipo de programa","Uma peça de som","O lugar onde as peças ficam encaixadas","O monitor","O lugar onde as peças ficam encaixadas","FACIL"
"A placa-mãe conecta:","", "Todas as peças do computador","Só a fonte","Apenas o teclado e o mouse","Os jogos","Todas as peças do computador","FACIL"
"O processador (CPU) faz o computador:","", "Pensar rápido e resolver tarefas","Ficar mais colorido","Guardar músicas","Mostrar sons","Pensar rápido e resolver tarefas","FACIL"
